case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
269.0,<0,existing paid,new car,8978.0,<100,>=7,male div/sep,45.0,high qualif/self emp/mgmt,0
270.0,no checking,existing paid,radio/tv,999.0,no known savings,>=7,male single,25.0,skilled,1
271.0,no checking,existing paid,new car,2662.0,no known savings,4<=X<7,male single,32.0,skilled,1
272.0,no checking,critical/other existing credit,furniture/equipment,1402.0,500<=X<1000,4<=X<7,female div/dep/mar,37.0,skilled,1
273.0,0<=X<200,all paid,new car,12169.0,no known savings,unemployed,male single,36.0,high qualif/self emp/mgmt,1
274.0,0<=X<200,existing paid,radio/tv,3060.0,<100,4<=X<7,male single,28.0,skilled,0
275.0,<0,existing paid,repairs,11998.0,<100,<1,male div/sep,34.0,unskilled resident,0
276.0,no checking,existing paid,radio/tv,2697.0,<100,1<=X<4,male single,32.0,skilled,1
277.0,no checking,critical/other existing credit,radio/tv,2404.0,<100,1<=X<4,female div/dep/mar,26.0,skilled,1
278.0,<0,existing paid,furniture/equipment,1262.0,no known savings,>=7,male div/sep,49.0,unskilled resident,1
279.0,no checking,existing paid,furniture/equipment,4611.0,<100,<1,female div/dep/mar,32.0,skilled,0
280.0,no checking,existing paid,radio/tv,1901.0,100<=X<500,1<=X<4,male single,29.0,high qualif/self emp/mgmt,1
281.0,no checking,critical/other existing credit,used car,3368.0,>=1000,>=7,male single,23.0,skilled,1
282.0,no checking,existing paid,furniture/equipment,1574.0,<100,1<=X<4,male single,50.0,skilled,1
283.0,>=200,all paid,radio/tv,1445.0,no known savings,4<=X<7,male single,49.0,unskilled resident,1
284.0,no checking,critical/other existing credit,furniture/equipment,1520.0,no known savings,>=7,male single,63.0,skilled,1
285.0,0<=X<200,critical/other existing credit,new car,3878.0,100<=X<500,<1,male div/sep,37.0,skilled,1
286.0,<0,existing paid,new car,10722.0,<100,<1,female div/dep/mar,35.0,unskilled resident,1
287.0,<0,existing paid,used car,4788.0,<100,4<=X<7,male single,26.0,skilled,1
288.0,0<=X<200,delayed previously,other,7582.0,100<=X<500,unemployed,male single,31.0,high qualif/self emp/mgmt,1
289.0,0<=X<200,existing paid,radio/tv,1092.0,<100,1<=X<4,female div/dep/mar,49.0,skilled,1
290.0,<0,delayed previously,radio/tv,1024.0,<100,<1,male mar/wid,48.0,skilled,0
291.0,no checking,existing paid,business,1076.0,<100,1<=X<4,male mar/wid,26.0,skilled,1
292.0,0<=X<200,existing paid,used car,9398.0,<100,<1,male mar/wid,28.0,high qualif/self emp/mgmt,0
293.0,<0,critical/other existing credit,used car,6419.0,<100,>=7,female div/dep/mar,44.0,high qualif/self emp/mgmt,1
294.0,>=200,critical/other existing credit,used car,4796.0,<100,>=7,male single,56.0,skilled,1
295.0,no checking,critical/other existing credit,business,7629.0,no known savings,>=7,male div/sep,46.0,high qualif/self emp/mgmt,1
296.0,0<=X<200,existing paid,furniture/equipment,9960.0,<100,<1,female div/dep/mar,26.0,skilled,0
297.0,no checking,existing paid,used car,4675.0,no known savings,<1,female div/dep/mar,20.0,skilled,1
298.0,no checking,existing paid,new car,1287.0,no known savings,>=7,male single,45.0,unskilled resident,1
299.0,no checking,existing paid,furniture/equipment,2515.0,<100,1<=X<4,male single,43.0,skilled,1
300.0,0<=X<200,critical/other existing credit,furniture/equipment,2745.0,>=1000,4<=X<7,male single,32.0,skilled,1
301.0,no checking,existing paid,new car,672.0,<100,unemployed,female div/dep/mar,54.0,unemp/unskilled non res,1
302.0,0<=X<200,no credits/all paid,radio/tv,3804.0,<100,1<=X<4,female div/dep/mar,42.0,skilled,0
303.0,>=200,critical/other existing credit,new car,1344.0,no known savings,4<=X<7,male single,37.0,unskilled resident,0
304.0,<0,critical/other existing credit,new car,1038.0,<100,4<=X<7,male single,49.0,skilled,1
305.0,no checking,critical/other existing credit,new car,10127.0,500<=X<1000,1<=X<4,male single,44.0,skilled,0
306.0,no checking,existing paid,furniture/equipment,1543.0,>=1000,1<=X<4,male div/sep,33.0,skilled,1
307.0,no checking,existing paid,used car,4811.0,no known savings,4<=X<7,female div/dep/mar,24.0,unskilled resident,1
308.0,<0,existing paid,radio/tv,727.0,100<=X<500,<1,male mar/wid,33.0,unskilled resident,0
309.0,0<=X<200,existing paid,furniture/equipment,1237.0,<100,1<=X<4,female div/dep/mar,24.0,skilled,0
310.0,0<=X<200,existing paid,new car,276.0,<100,1<=X<4,male mar/wid,22.0,unskilled resident,1
311.0,0<=X<200,existing paid,other,5381.0,no known savings,unemployed,male single,40.0,unemp/unskilled non res,1
312.0,no checking,existing paid,furniture/equipment,5511.0,100<=X<500,1<=X<4,male single,25.0,skilled,1
313.0,>=200,existing paid,furniture/equipment,3749.0,<100,<1,female div/dep/mar,26.0,skilled,1
314.0,0<=X<200,existing paid,new car,685.0,<100,4<=X<7,male mar/wid,25.0,unskilled resident,0
315.0,>=200,existing paid,new car,1494.0,no known savings,<1,male single,29.0,unskilled resident,1
316.0,<0,all paid,furniture/equipment,2746.0,<100,>=7,male single,31.0,skilled,0
317.0,<0,existing paid,furniture/equipment,708.0,<100,1<=X<4,male single,38.0,unskilled resident,1
318.0,0<=X<200,existing paid,furniture/equipment,4351.0,no known savings,1<=X<4,female div/dep/mar,48.0,unskilled resident,1
319.0,no checking,critical/other existing credit,education,701.0,<100,1<=X<4,male single,32.0,skilled,1
320.0,<0,delayed previously,furniture/equipment,3643.0,<100,>=7,female div/dep/mar,27.0,unskilled resident,1
321.0,0<=X<200,critical/other existing credit,new car,4249.0,<100,unemployed,male mar/wid,28.0,high qualif/self emp/mgmt,0
322.0,<0,existing paid,radio/tv,1938.0,<100,<1,male div/sep,32.0,skilled,0
323.0,<0,existing paid,used car,2910.0,<100,4<=X<7,male single,34.0,high qualif/self emp/mgmt,1
324.0,<0,existing paid,furniture/equipment,2659.0,>=1000,1<=X<4,male single,28.0,skilled,1
325.0,no checking,critical/other existing credit,new car,1028.0,<100,1<=X<4,female div/dep/mar,36.0,skilled,1
326.0,<0,critical/other existing credit,new car,3398.0,<100,4<=X<7,male single,39.0,unskilled resident,1
327.0,no checking,critical/other existing credit,furniture/equipment,5801.0,no known savings,>=7,male single,49.0,skilled,1
328.0,no checking,existing paid,new car,1525.0,>=1000,4<=X<7,female div/dep/mar,34.0,skilled,1
329.0,>=200,existing paid,radio/tv,4473.0,<100,>=7,male single,31.0,skilled,1
330.0,0<=X<200,existing paid,radio/tv,1068.0,<100,>=7,male single,28.0,skilled,1
331.0,<0,critical/other existing credit,used car,6615.0,<100,unemployed,male single,75.0,high qualif/self emp/mgmt,1
332.0,no checking,critical/other existing credit,education,1864.0,100<=X<500,1<=X<4,female div/dep/mar,30.0,skilled,0
333.0,0<=X<200,existing paid,new car,7408.0,100<=X<500,<1,female div/dep/mar,24.0,high qualif/self emp/mgmt,0
334.0,no checking,critical/other existing credit,used car,11590.0,100<=X<500,1<=X<4,female div/dep/mar,24.0,unskilled resident,0
335.0,<0,no credits/all paid,furniture/equipment,4110.0,<100,>=7,male single,23.0,skilled,0
336.0,<0,critical/other existing credit,furniture/equipment,3384.0,<100,1<=X<4,male div/sep,44.0,high qualif/self emp/mgmt,0
337.0,0<=X<200,existing paid,radio/tv,2101.0,<100,<1,female div/dep/mar,23.0,unskilled resident,1
338.0,<0,existing paid,domestic appliance,1275.0,no known savings,1<=X<4,female div/dep/mar,24.0,skilled,0
339.0,<0,existing paid,furniture/equipment,4169.0,<100,1<=X<4,male single,28.0,skilled,1
340.0,0<=X<200,existing paid,furniture/equipment,1521.0,<100,1<=X<4,male div/sep,31.0,unskilled resident,1
341.0,0<=X<200,critical/other existing credit,education,5743.0,<100,<1,female div/dep/mar,24.0,skilled,1
342.0,<0,existing paid,furniture/equipment,3599.0,<100,4<=X<7,female div/dep/mar,26.0,unskilled resident,1
343.0,0<=X<200,existing paid,radio/tv,3213.0,500<=X<1000,<1,male mar/wid,25.0,skilled,1
344.0,0<=X<200,existing paid,business,4439.0,<100,>=7,male single,33.0,high qualif/self emp/mgmt,1
345.0,>=200,existing paid,new car,3949.0,<100,<1,male single,37.0,unskilled resident,1
346.0,no checking,critical/other existing credit,radio/tv,1459.0,<100,1<=X<4,female div/dep/mar,43.0,unskilled resident,1
347.0,0<=X<200,critical/other existing credit,radio/tv,882.0,<100,<1,male single,23.0,skilled,1
348.0,0<=X<200,existing paid,radio/tv,3758.0,500<=X<1000,unemployed,female div/dep/mar,23.0,unemp/unskilled non res,1
349.0,no checking,delayed previously,business,1743.0,100<=X<500,1<=X<4,male single,34.0,unskilled resident,1
350.0,0<=X<200,critical/other existing credit,education,1136.0,>=1000,>=7,male single,32.0,skilled,0
351.0,no checking,existing paid,domestic appliance,1236.0,<100,<1,female div/dep/mar,23.0,skilled,1
352.0,0<=X<200,existing paid,furniture/equipment,959.0,<100,1<=X<4,female div/dep/mar,29.0,skilled,0
353.0,no checking,critical/other existing credit,used car,3229.0,no known savings,unemployed,male single,38.0,high qualif/self emp/mgmt,1
354.0,<0,no credits/all paid,radio/tv,6199.0,<100,1<=X<4,male single,28.0,skilled,0
355.0,no checking,existing paid,education,727.0,500<=X<1000,>=7,male single,46.0,skilled,1
356.0,0<=X<200,existing paid,new car,1246.0,<100,<1,male single,23.0,unskilled resident,0
357.0,no checking,critical/other existing credit,radio/tv,2331.0,no known savings,>=7,male single,49.0,skilled,1
358.0,no checking,delayed previously,radio/tv,4463.0,<100,1<=X<4,male single,26.0,high qualif/self emp/mgmt,0
359.0,no checking,existing paid,radio/tv,776.0,<100,1<=X<4,male mar/wid,28.0,skilled,1
360.0,<0,existing paid,furniture/equipment,2406.0,<100,4<=X<7,female div/dep/mar,23.0,skilled,0
361.0,0<=X<200,existing paid,education,1239.0,no known savings,1<=X<4,male single,61.0,skilled,1
362.0,>=200,existing paid,radio/tv,3399.0,no known savings,>=7,male single,37.0,high qualif/self emp/mgmt,1
363.0,>=200,delayed previously,new car,2247.0,<100,1<=X<4,female div/dep/mar,36.0,skilled,1
364.0,no checking,existing paid,furniture/equipment,1766.0,<100,1<=X<4,male mar/wid,21.0,skilled,1
365.0,<0,existing paid,furniture/equipment,2473.0,<100,unemployed,male single,25.0,unemp/unskilled non res,0
366.0,no checking,existing paid,business,1542.0,<100,4<=X<7,male single,36.0,skilled,1
367.0,no checking,critical/other existing credit,used car,3850.0,<100,4<=X<7,male single,27.0,skilled,1
368.0,<0,existing paid,furniture/equipment,3650.0,<100,<1,female div/dep/mar,22.0,skilled,1
369.0,<0,existing paid,furniture/equipment,3446.0,<100,>=7,male single,42.0,skilled,0
370.0,0<=X<200,existing paid,furniture/equipment,3001.0,<100,4<=X<7,female div/dep/mar,40.0,skilled,1
371.0,no checking,existing paid,new car,3079.0,no known savings,1<=X<4,male single,36.0,skilled,1
372.0,no checking,critical/other existing credit,radio/tv,6070.0,<100,>=7,male single,33.0,skilled,1
373.0,no checking,critical/other existing credit,furniture/equipment,2146.0,<100,<1,female div/dep/mar,23.0,skilled,1
374.0,no checking,critical/other existing credit,new car,13756.0,no known savings,>=7,male single,63.0,high qualif/self emp/mgmt,1
375.0,0<=X<200,all paid,other,14782.0,100<=X<500,>=7,female div/dep/mar,60.0,high qualif/self emp/mgmt,0
376.0,<0,all paid,business,7685.0,<100,4<=X<7,female div/dep/mar,37.0,skilled,0
377.0,no checking,delayed previously,radio/tv,2320.0,<100,unemployed,male mar/wid,34.0,skilled,1
378.0,no checking,delayed previously,radio/tv,846.0,no known savings,>=7,male single,36.0,skilled,1
379.0,0<=X<200,existing paid,new car,14318.0,<100,>=7,male single,57.0,high qualif/self emp/mgmt,0
380.0,no checking,critical/other existing credit,new car,362.0,100<=X<500,1<=X<4,female div/dep/mar,52.0,unskilled resident,1
381.0,<0,existing paid,furniture/equipment,2212.0,no known savings,4<=X<7,male single,39.0,skilled,1
382.0,0<=X<200,existing paid,used car,12976.0,<100,unemployed,female div/dep/mar,38.0,high qualif/self emp/mgmt,0
383.0,no checking,existing paid,new car,1283.0,no known savings,4<=X<7,female div/dep/mar,25.0,skilled,1
384.0,>=200,existing paid,new car,1330.0,<100,<1,male single,26.0,skilled,1
385.0,no checking,delayed previously,business,4272.0,100<=X<500,1<=X<4,male single,26.0,unskilled resident,1
386.0,no checking,critical/other existing credit,radio/tv,2238.0,<100,1<=X<4,female div/dep/mar,25.0,skilled,1
387.0,no checking,existing paid,radio/tv,1126.0,no known savings,<1,female div/dep/mar,21.0,skilled,1
388.0,0<=X<200,critical/other existing credit,furniture/equipment,7374.0,<100,unemployed,male single,40.0,high qualif/self emp/mgmt,1
389.0,0<=X<200,critical/other existing credit,business,2326.0,500<=X<1000,1<=X<4,male single,27.0,skilled,1
390.0,no checking,existing paid,business,1449.0,<100,4<=X<7,female div/dep/mar,27.0,skilled,1
391.0,no checking,existing paid,new car,1820.0,<100,1<=X<4,male mar/wid,30.0,high qualif/self emp/mgmt,1
392.0,0<=X<200,existing paid,furniture/equipment,983.0,>=1000,<1,female div/dep/mar,19.0,unskilled resident,1
393.0,<0,existing paid,new car,3249.0,<100,4<=X<7,male single,39.0,high qualif/self emp/mgmt,1
394.0,<0,critical/other existing credit,radio/tv,1957.0,<100,4<=X<7,female div/dep/mar,31.0,skilled,1
395.0,no checking,critical/other existing credit,furniture/equipment,2406.0,<100,unemployed,male single,31.0,high qualif/self emp/mgmt,1
396.0,0<=X<200,delayed previously,education,11760.0,100<=X<500,4<=X<7,male single,32.0,skilled,1
397.0,<0,existing paid,furniture/equipment,2578.0,<100,unemployed,female div/dep/mar,55.0,high qualif/self emp/mgmt,1
398.0,<0,critical/other existing credit,furniture/equipment,2348.0,<100,1<=X<4,male mar/wid,46.0,skilled,1
399.0,0<=X<200,existing paid,new car,1223.0,<100,>=7,male div/sep,46.0,skilled,0
400.0,no checking,critical/other existing credit,radio/tv,1516.0,>=1000,1<=X<4,female div/dep/mar,43.0,unskilled resident,1
401.0,no checking,existing paid,radio/tv,1473.0,<100,<1,male mar/wid,39.0,skilled,1
402.0,0<=X<200,critical/other existing credit,business,1887.0,no known savings,1<=X<4,male mar/wid,28.0,skilled,1
403.0,no checking,delayed previously,business,8648.0,<100,<1,male single,27.0,skilled,0
404.0,no checking,delayed previously,new car,802.0,<100,1<=X<4,male single,27.0,unskilled resident,1
405.0,0<=X<200,delayed previously,new car,2899.0,no known savings,>=7,male single,43.0,skilled,1
406.0,0<=X<200,existing paid,radio/tv,2039.0,<100,<1,male mar/wid,22.0,skilled,0
407.0,no checking,critical/other existing credit,used car,2197.0,no known savings,4<=X<7,male single,43.0,skilled,1
408.0,<0,existing paid,radio/tv,1053.0,<100,<1,male mar/wid,27.0,skilled,1
409.0,no checking,existing paid,radio/tv,3235.0,500<=X<1000,>=7,male div/sep,26.0,high qualif/self emp/mgmt,1
410.0,>=200,critical/other existing credit,new car,939.0,500<=X<1000,4<=X<7,male mar/wid,28.0,skilled,0
411.0,0<=X<200,existing paid,radio/tv,1967.0,<100,>=7,female div/dep/mar,20.0,skilled,1
412.0,no checking,critical/other existing credit,used car,7253.0,<100,4<=X<7,male single,35.0,high qualif/self emp/mgmt,1
413.0,no checking,critical/other existing credit,business,2292.0,<100,unemployed,male single,42.0,high qualif/self emp/mgmt,0
414.0,no checking,existing paid,new car,1597.0,500<=X<1000,1<=X<4,male single,40.0,unskilled resident,1
415.0,<0,existing paid,new car,1381.0,no known savings,1<=X<4,female div/dep/mar,35.0,skilled,0
416.0,no checking,critical/other existing credit,used car,5842.0,<100,>=7,male single,35.0,skilled,1
417.0,<0,existing paid,new car,2579.0,<100,<1,male single,33.0,unskilled resident,0
418.0,<0,delayed previously,education,8471.0,no known savings,1<=X<4,female div/dep/mar,23.0,skilled,1
419.0,no checking,existing paid,new car,2782.0,500<=X<1000,4<=X<7,female div/dep/mar,31.0,high qualif/self emp/mgmt,1
420.0,0<=X<200,existing paid,new car,1042.0,no known savings,1<=X<4,female div/dep/mar,33.0,skilled,0
421.0,no checking,existing paid,new car,3186.0,>=1000,4<=X<7,female div/dep/mar,20.0,skilled,1
422.0,0<=X<200,existing paid,used car,2028.0,no known savings,1<=X<4,male single,30.0,skilled,1
423.0,0<=X<200,critical/other existing credit,new car,958.0,<100,4<=X<7,male single,47.0,unskilled resident,1
424.0,no checking,delayed previously,furniture/equipment,1591.0,100<=X<500,4<=X<7,male single,34.0,high qualif/self emp/mgmt,1
425.0,0<=X<200,existing paid,furniture/equipment,2762.0,no known savings,>=7,female div/dep/mar,25.0,skilled,0
426.0,0<=X<200,existing paid,used car,2779.0,<100,1<=X<4,male mar/wid,21.0,skilled,1
427.0,no checking,critical/other existing credit,radio/tv,2743.0,<100,>=7,male single,29.0,skilled,1
428.0,no checking,critical/other existing credit,radio/tv,1149.0,>=1000,1<=X<4,male single,46.0,skilled,1
429.0,no checking,existing paid,furniture/equipment,1313.0,<100,>=7,male single,20.0,skilled,1
430.0,<0,critical/other existing credit,repairs,1190.0,<100,unemployed,female div/dep/mar,55.0,unemp/unskilled non res,0
431.0,no checking,existing paid,business,3448.0,<100,4<=X<7,male single,74.0,unskilled resident,1
432.0,0<=X<200,existing paid,other,111328.0,<100,1<=X<4,male single,29.0,high qualif/self emp/mgmt,0
433.0,<0,critical/other existing credit,furniture/equipment,1872.0,<100,unemployed,male single,36.0,high qualif/self emp/mgmt,1
434.0,no checking,critical/other existing credit,repairs,2058.0,<100,1<=X<4,male div/sep,33.0,skilled,1
435.0,<0,existing paid,furniture/equipment,2136.0,<100,1<=X<4,male single,25.0,skilled,1
436.0,0<=X<200,existing paid,radio/tv,1484.0,no known savings,1<=X<4,male mar/wid,25.0,skilled,0
437.0,no checking,existing paid,repairs,660.0,500<=X<1000,4<=X<7,male mar/wid,23.0,unskilled resident,1
438.0,no checking,critical/other existing credit,new car,1287.0,>=1000,>=7,female div/dep/mar,37.0,skilled,1
439.0,<0,critical/other existing credit,repairs,3394.0,<100,unemployed,male single,65.0,unemp/unskilled non res,1
440.0,>=200,all paid,business,609.0,<100,<1,female div/dep/mar,26.0,unemp/unskilled non res,0
441.0,no checking,existing paid,new car,1884.0,<100,>=7,male single,39.0,high qualif/self emp/mgmt,1
442.0,<0,existing paid,furniture/equipment,1620.0,<100,1<=X<4,female div/dep/mar,30.0,skilled,1
443.0,0<=X<200,delayed previously,other,2629.0,<100,1<=X<4,male single,29.0,skilled,1
444.0,no checking,existing paid,education,7190.0,<100,>=7,male single,41.0,unskilled resident,0
445.0,0<=X<200,critical/other existing credit,furniture/equipment,5096.0,<100,1<=X<4,female div/dep/mar,30.0,high qualif/self emp/mgmt,0
446.0,no checking,critical/other existing credit,education,1244.0,no known savings,>=7,female div/dep/mar,41.0,unskilled resident,1
447.0,<0,existing paid,new car,1842.0,<100,<1,female div/dep/mar,34.0,skilled,0
448.0,0<=X<200,existing paid,radio/tv,2576.0,<100,1<=X<4,male single,35.0,skilled,1
449.0,>=200,existing paid,furniture/equipment,1424.0,no known savings,>=7,female div/dep/mar,55.0,high qualif/self emp/mgmt,1
450.0,0<=X<200,delayed previously,repairs,1512.0,>=1000,1<=X<4,male mar/wid,61.0,skilled,0
451.0,no checking,critical/other existing credit,used car,11054.0,no known savings,1<=X<4,male single,30.0,high qualif/self emp/mgmt,1
452.0,no checking,existing paid,radio/tv,5180.0,<100,1<=X<4,female div/dep/mar,29.0,skilled,1
453.0,no checking,no credits/all paid,furniture/equipment,2759.0,<100,>=7,male single,34.0,skilled,1
454.0,no checking,existing paid,used car,2670.0,<100,>=7,male single,35.0,high qualif/self emp/mgmt,1
455.0,<0,existing paid,new car,4817.0,<100,4<=X<7,male single,31.0,skilled,0
456.0,no checking,existing paid,used car,2679.0,<100,<1,female div/dep/mar,29.0,high qualif/self emp/mgmt,1
457.0,<0,critical/other existing credit,new car,3905.0,<100,1<=X<4,male single,36.0,skilled,1
458.0,<0,existing paid,used car,3386.0,<100,>=7,male single,35.0,skilled,0
459.0,<0,existing paid,domestic appliance,343.0,<100,<1,female div/dep/mar,27.0,skilled,1
460.0,no checking,existing paid,radio/tv,4594.0,<100,<1,male single,32.0,skilled,1
461.0,<0,existing paid,furniture/equipment,3620.0,<100,1<=X<4,male single,37.0,skilled,1
462.0,<0,existing paid,new car,1721.0,<100,<1,male single,36.0,skilled,1
463.0,0<=X<200,existing paid,furniture/equipment,3017.0,<100,<1,female div/dep/mar,34.0,high qualif/self emp/mgmt,1
464.0,0<=X<200,existing paid,retraining,754.0,no known savings,>=7,male single,38.0,skilled,1
465.0,no checking,existing paid,business,1950.0,<100,4<=X<7,male single,34.0,skilled,1
466.0,<0,existing paid,used car,2924.0,<100,1<=X<4,male single,63.0,skilled,1
467.0,<0,delayed previously,radio/tv,1659.0,<100,<1,female div/dep/mar,29.0,unskilled resident,0
468.0,no checking,delayed previously,radio/tv,7238.0,no known savings,>=7,male single,32.0,skilled,1
469.0,no checking,delayed previously,business,2764.0,<100,1<=X<4,female div/dep/mar,26.0,skilled,1
470.0,no checking,delayed previously,used car,4679.0,<100,4<=X<7,male single,35.0,unskilled resident,1
471.0,0<=X<200,existing paid,radio/tv,3092.0,100<=X<500,<1,male mar/wid,22.0,skilled,0
472.0,<0,existing paid,education,448.0,<100,<1,female div/dep/mar,23.0,skilled,0
473.0,<0,existing paid,new car,654.0,<100,1<=X<4,male single,28.0,unskilled resident,0
474.0,no checking,existing paid,retraining,1238.0,no known savings,unemployed,male single,36.0,high qualif/self emp/mgmt,1
475.0,0<=X<200,critical/other existing credit,radio/tv,1245.0,<100,1<=X<4,male mar/wid,33.0,skilled,0
476.0,<0,no credits/all paid,furniture/equipment,3114.0,<100,<1,female div/dep/mar,26.0,skilled,0
477.0,no checking,existing paid,used car,2569.0,500<=X<1000,1<=X<4,male single,24.0,skilled,1
478.0,>=200,existing paid,radio/tv,5152.0,<100,4<=X<7,male single,25.0,skilled,1
479.0,0<=X<200,existing paid,business,1037.0,100<=X<500,4<=X<7,male single,39.0,unskilled resident,1
480.0,<0,critical/other existing credit,furniture/equipment,1478.0,<100,>=7,male single,44.0,skilled,1
481.0,0<=X<200,critical/other existing credit,radio/tv,3573.0,<100,1<=X<4,female div/dep/mar,23.0,unskilled resident,1
482.0,0<=X<200,existing paid,new car,1201.0,<100,<1,male single,26.0,skilled,1
483.0,<0,existing paid,furniture/equipment,3622.0,>=1000,>=7,female div/dep/mar,57.0,skilled,1
484.0,no checking,delayed previously,furniture/equipment,960.0,>=1000,4<=X<7,female div/dep/mar,30.0,skilled,1
485.0,no checking,critical/other existing credit,new car,1163.0,500<=X<1000,1<=X<4,male single,44.0,skilled,1
486.0,0<=X<200,delayed previously,new car,1209.0,<100,unemployed,male single,47.0,high qualif/self emp/mgmt,0
487.0,no checking,existing paid,radio/tv,3077.0,<100,1<=X<4,male single,52.0,skilled,1
488.0,no checking,existing paid,new car,3757.0,<100,>=7,female div/dep/mar,62.0,skilled,1
489.0,no checking,existing paid,new car,1418.0,100<=X<500,1<=X<4,male single,35.0,unskilled resident,1
490.0,no checking,existing paid,new car,3518.0,<100,1<=X<4,male single,26.0,skilled,1
491.0,no checking,critical/other existing credit,radio/tv,1934.0,<100,>=7,male single,26.0,skilled,1
492.0,0<=X<200,no credits/all paid,business,8318.0,<100,>=7,female div/dep/mar,42.0,high qualif/self emp/mgmt,0
493.0,no checking,critical/other existing credit,radio/tv,1237.0,100<=X<500,1<=X<4,female div/dep/mar,27.0,skilled,1
494.0,0<=X<200,existing paid,radio/tv,368.0,no known savings,>=7,male single,38.0,skilled,1
495.0,<0,critical/other existing credit,new car,2122.0,<100,1<=X<4,male single,39.0,unskilled resident,1
496.0,<0,existing paid,furniture/equipment,2996.0,no known savings,1<=X<4,male mar/wid,20.0,skilled,0
497.0,0<=X<200,existing paid,furniture/equipment,9034.0,100<=X<500,<1,male single,29.0,high qualif/self emp/mgmt,0
498.0,no checking,critical/other existing credit,furniture/equipment,1585.0,<100,4<=X<7,male single,40.0,skilled,1
499.0,0<=X<200,existing paid,radio/tv,1301.0,<100,>=7,male mar/wid,32.0,unskilled resident,1
500.0,>=200,critical/other existing credit,new car,1323.0,100<=X<500,>=7,male div/sep,28.0,skilled,1
501.0,<0,existing paid,new car,3123.0,<100,<1,female div/dep/mar,27.0,skilled,0
502.0,<0,existing paid,used car,5493.0,<100,>=7,male single,42.0,skilled,1
503.0,>=200,existing paid,radio/tv,1126.0,100<=X<500,>=7,male div/sep,49.0,skilled,1
504.0,0<=X<200,critical/other existing credit,radio/tv,1216.0,100<=X<500,<1,male single,38.0,skilled,0
505.0,<0,existing paid,new car,1207.0,<100,<1,female div/dep/mar,24.0,skilled,0
506.0,no checking,existing paid,new car,1309.0,no known savings,1<=X<4,male single,27.0,unskilled resident,0
507.0,>=200,critical/other existing credit,used car,2360.0,500<=X<1000,1<=X<4,male single,36.0,skilled,1
508.0,0<=X<200,all paid,new car,6850.0,100<=X<500,unemployed,male single,34.0,high qualif/self emp/mgmt,0
509.0,no checking,existing paid,radio/tv,1413.0,<100,1<=X<4,male mar/wid,28.0,skilled,1
510.0,no checking,existing paid,used car,8588.0,100<=X<500,>=7,male single,45.0,high qualif/self emp/mgmt,1
511.0,<0,existing paid,new car,759.0,<100,4<=X<7,male single,26.0,skilled,0
512.0,no checking,existing paid,used car,4686.0,<100,1<=X<4,male single,32.0,high qualif/self emp/mgmt,1
513.0,>=200,existing paid,business,2687.0,<100,4<=X<7,male single,26.0,skilled,1
514.0,0<=X<200,delayed previously,radio/tv,5850.0,<100,1<=X<4,male mar/wid,20.0,skilled,1
515.0,no checking,existing paid,new car,2255.0,no known savings,<1,male single,54.0,skilled,1
516.0,<0,critical/other existing credit,new car,609.0,<100,4<=X<7,female div/dep/mar,37.0,skilled,1
517.0,<0,critical/other existing credit,new car,1361.0,<100,<1,male single,40.0,unskilled resident,1
518.0,no checking,critical/other existing credit,furniture/equipment,7127.0,<100,<1,female div/dep/mar,23.0,skilled,0
519.0,<0,existing paid,new car,1203.0,100<=X<500,>=7,male single,43.0,skilled,1
520.0,no checking,critical/other existing credit,radio/tv,700.0,no known savings,>=7,male single,36.0,skilled,1
521.0,no checking,critical/other existing credit,repairs,5507.0,<100,>=7,male single,44.0,skilled,1
522.0,<0,existing paid,radio/tv,3190.0,<100,1<=X<4,female div/dep/mar,24.0,skilled,0
523.0,<0,no credits/all paid,furniture/equipment,7119.0,<100,1<=X<4,male single,53.0,skilled,0
524.0,no checking,existing paid,used car,3488.0,100<=X<500,4<=X<7,female div/dep/mar,23.0,skilled,1
525.0,0<=X<200,existing paid,radio/tv,1113.0,<100,1<=X<4,female div/dep/mar,26.0,unskilled resident,1
526.0,0<=X<200,existing paid,used car,7966.0,<100,<1,male single,30.0,skilled,1
527.0,no checking,critical/other existing credit,education,1532.0,100<=X<500,1<=X<4,female div/dep/mar,31.0,skilled,1
528.0,no checking,critical/other existing credit,radio/tv,1503.0,<100,4<=X<7,male single,42.0,unskilled resident,1
529.0,<0,existing paid,radio/tv,2302.0,<100,1<=X<4,male div/sep,31.0,skilled,0
530.0,<0,existing paid,new car,662.0,<100,<1,male single,41.0,unskilled resident,1
531.0,0<=X<200,existing paid,education,2273.0,<100,4<=X<7,male single,32.0,skilled,1
532.0,0<=X<200,existing paid,new car,2631.0,100<=X<500,1<=X<4,female div/dep/mar,28.0,skilled,0
533.0,no checking,delayed previously,used car,1503.0,<100,1<=X<4,male mar/wid,41.0,skilled,1
534.0,no checking,existing paid,radio/tv,1311.0,100<=X<500,4<=X<7,male mar/wid,26.0,skilled,1
535.0,no checking,existing paid,radio/tv,3105.0,no known savings,<1,male single,25.0,skilled,1
536.0,>=200,critical/other existing credit,education,2319.0,<100,<1,male div/sep,33.0,skilled,0
